id,value
545,100
546,90
547,40
548,78
549,73
550,22
551,90
552,93
553,20
554,54
555,86
556,25
557,20
558,49
559,94
560,4
561,99
562,82
563,29
564,92
565,60
566,52
567,36
568,50
569,81
570,6
571,22
572,66
573,5
574,36
575,1
576,75
577,38
578,91
579,20
580,24
581,14
582,19
583,41
584,50
585,6
586,73
587,23
588,71
589,6
590,72
591,1
592,1
593,64
594,53
595,94
596,32
597,90
598,4
599,10
600,52
601,52
602,76
603,12
604,97
605,57
606,6
607,23
608,56
609,33
610,24
611,82
612,35
613,39
614,80
615,66
616,43
617,78
618,43
619,68
620,28
621,47
622,47
623,36
624,43
625,76
626,5
627,35
628,25
629,48
630,44
631,60
632,86
633,62
634,45
635,98
636,87
637,52
638,83
639,79
640,80
641,6
642,18
643,84
644,6
645,97
646,14
647,20
648,74
649,27
650,1
651,18
652,32
653,26
654,34
655,60
656,33
657,71
658,75
659,45
660,46
661,60
662,39
663,56
664,83
665,11
666,4
667,32
668,8
669,31
670,10
671,29
672,56
673,31
674,1
675,11
676,75
677,55
678,36
679,95
680,61
681,43
682,99
683,48
684,58
685,7
686,96
687,49
688,68
689,63
690,98
691,57
692,63
693,87
694,67
695,83
696,23
697,40
698,2
699,67
700,39
701,98
702,68
703,41
704,78
705,93
706,54
707,37
708,18
709,96
710,56
711,44
712,32
713,87
714,54
715,30
716,28
717,79
718,82
719,41
720,65
721,67
722,49
723,20
724,68
725,90
726,65
727,64
728,76
729,49
730,24
731,66
732,78
733,71
734,20
735,79
736,81
737,1
738,49
739,41
740,34
741,48
742,94
743,47
744,50
745,81
746,50
747,32
748,42
749,5
750,11
751,85
752,71
753,13
754,2
755,66
756,80
757,99
758,1
759,24
760,25
761,31
762,56
763,19
764,68
765,19
766,39
767,47
768,6
769,82
770,7
771,53
772,80
773,83
774,96
775,57
776,42
777,60
778,31
779,74
780,71
781,84
782,7
783,42
784,64
785,71
786,100
787,35
788,54
789,5
790,17
791,49
792,56
793,92
794,44
795,62
796,58
797,80
798,55
799,67
800,61
801,29
802,29
803,82
804,16
805,14
806,67
807,18
808,72
809,85
810,64
811,56
812,90
813,16
814,21
815,64
816,44
817,3
818,77
819,86
820,51
821,41
822,49
823,54
824,94
825,32
826,68
827,8
828,68
829,99
830,71
831,77
832,35
833,42
834,28
835,52
836,11
837,35
838,52
839,68
840,35
841,69
842,4
843,28
844,56
845,85
846,56
847,78
848,67
849,3
850,47
851,8
852,49
853,10
854,15
855,20
856,31
857,47
858,19
859,40
860,31
861,14
862,32
863,21
864,28
865,33
866,34
867,37
868,47
869,73
870,85
871,15
872,7
873,20
874,62
875,14
876,11
877,53
878,96
879,60
880,89
881,56
882,48
883,45
884,72
885,45
886,33
887,47
888,82
889,100
890,100
891,17
892,80
893,93
894,95
895,73
896,64
897,47
898,71
899,93
900,26
901,78
902,2
903,100
904,64
905,12
906,20
907,99
908,78
909,36
910,54
911,3
912,75
913,54
914,53
915,20
916,89
917,18
918,56
919,10
920,33
921,72
922,73
923,14
924,90
925,20
926,76
927,12
928,71
929,44
930,48
931,61
932,67
933,64
934,50
935,80
936,50
937,66
938,15
939,20
940,92
941,96
942,79
943,53
944,9
945,91
946,48
947,82
948,61
949,21
950,2
951,63
952,14
953,48
954,69
955,19
956,93
957,19
958,36
959,31
960,81
961,81
962,18
963,45
964,16
965,59
966,21
967,6
968,94
969,28
970,17
971,72
972,52
973,95
974,94
975,56
976,81
977,94
978,7
979,29
980,25
981,77
982,45
983,48
984,90
985,48
986,86
987,38
988,1
989,25
990,55
991,57
992,16
993,23
994,85
995,4
996,53
997,75
998,1
999,70
1000,15
